Student_ID,Name,Age,Gender,Department,Semester,Attendance_Percentage,Internal_Marks,CGPA,City,Scholarship
STU001,Arjun Rao,19,Male,Data Science,7,76.5,49.3,5.9,Chennai,No
STU002,Meera Nair,22,Male,CSE,4,99.5,25.9,9.6,Mysuru,Yes
STU003,Manish Kulkarni,23,Male,Civil,4,91.3,29.1,7.29,Bengaluru,No
STU004,Ananya Patel,22,Female,ECE,2,95.8,21.4,7.5,Belagavi,No
STU005,Aadhya Verma,22,Male,EEE,2,74.5,40.8,9.66,Mysuru,No
STU006,Manish Nair,22,Male,ECE,2,64.9,27,8.39,Bengaluru,No
STU007,Diya Nair,23,Female,ISE,1,98.7,24.5,5.71,Chennai,No
STU008,Arjun Gupta,18,Female,Mechanical,2,87.3,46.4,8.57,Tumakuru,No
STU009,Meera Naidu,21,Female,CSE,2,78.7,27.7,7.79,Mangaluru,Yes
STU010,Vivaan Verma,18,Male,Mechanical,8,79.6,26.2,7.53,Hyderabad,Yes
STU011,Priya Naidu,25,Male,ISE,1,72.5,20.7,6.62,Hyderabad,No
STU012,Nisha Singh,22,Female,ECE,2,68.1,40.1,8.84,Hyderabad,No
STU013,Sneha Patel,24,Female,ECE,5,63.4,25.1,9.89,Bengaluru,Yes
STU014,Vihaan Shetty,22,Female,Civil,4,78.3,21.5,8.43,Belagavi,Yes
STU015,Kiran Verma,24,Female,Civil,8,78.5,31.2,8.48,Hyderabad,No
STU016,Nisha Shetty,19,Male,ECE,6,83.9,37.6,5.94,Belagavi,No
STU017,Arjun Nair,19,Female,Civil,6,85.5,27.1,9.6,Hubballi,No
STU018,Priya Reddy,25,Female,Civil,5,73.7,36,7.16,Belagavi,Yes
STU019,Rohan Verma,24,Female,AIML,7,78.7,28,8.68,Hyderabad,Yes
STU020,Aditya Sharma,19,Female,ISE,7,66.6,44.6,8.88,Mangaluru,Yes
STU021,Arjun Das,19,Male,ECE,6,94.2,42.2,9.62,Belagavi,Yes
STU022,Aarav Rao,23,Female,AIML,4,66.7,27,9.2,Mangaluru,No
STU023,Meera Kumar,18,Female,ISE,1,63.7,37.9,9.84,Chennai,Yes
STU024,Vihaan Joshi,18,Female,Mechanical,6,62.3,38,9.89,Chennai,Yes
STU025,Pooja Joshi,22,Male,Mechanical,1,84.5,46.7,6.41,Bengaluru,Yes
